date,open,close,high,low,volume
20201229  05:30,665.1,665.1,665.1,665.1,2
20201229  05:35,665.1,665.1,665.1,665.1,0
20201229  05:40,665.1,665.1,665.1,665.1,0
20201229  05:45,665,665,665,665,1
20201229  05:50,665.01,665.05,665.05,665,12
20201229  05:55,665.06,664.5,665.06,664.49,4
20201229  06:00,664.59,664.59,664.59,664.59,1
20201229  06:05,664.59,664.59,664.59,664.59,0
20201229  06:10,664.59,664.59,664.59,664.59,0
20201229  06:15,665.15,665.15,665.15,665.15,2
20201229  06:20,664.5,664.4,664.5,664,14
20201229  06:25,664.4,664.4,664.4,664.4,0
20201229  06:30,664.4,664.4,664.4,664.4,0
20201229  06:35,664.4,664.4,664.4,664.4,0
20201229  06:40,664.25,663.73,664.25,663.73,14
20201229  06:45,663.05,662,663.05,662,10
20201229  06:50,662,662,662,662,3
20201229  06:55,662,662,662,662,15
20201229  07:00,662.25,665,665.08,661.5,203
20201229  07:05,664.11,663.18,665.11,663.18,226
20201229  07:10,663.43,663.95,664.3,663.17,46
20201229  07:15,663.78,662,663.78,662,116
20201229  07:20,662,662.84,662.88,662,32
20201229  07:25,662.5,661.98,662.51,661.7,37
20201229  07:30,661.96,660.96,661.98,660.49,88
20201229  07:35,660.54,660.5,661.21,660.49,61
20201229  07:40,660.51,658.19,660.51,656.29,336
20201229  07:45,658.49,658.2,658.85,657,70
20201229  07:50,658,660.69,661,658,208
20201229  07:55,660.5,660,660.69,660,120
20201229  08:00,664.53,660.03,665.75,656.2,369
20201229  08:05,660,660.01,661,659.99,47
20201229  08:10,660.6,661.26,661.51,660.49,29
20201229  08:15,661.5,660.75,661.51,660.75,32
20201229  08:20,660.8,660.5,660.8,660.49,9
20201229  08:25,660.7,660.6,660.85,660.44,12
20201229  08:30,660.46,660.1,660.86,660.1,9
20201229  08:35,660.11,659.49,660.6,659.49,119
20201229  08:40,659.5,659.69,663.69,659.02,297
20201229  08:45,659.69,660.5,660.5,659.5,65
20201229  08:50,659.85,660,660,659.85,9
20201229  08:55,660.45,660.13,660.45,660.12,6
20201229  09:00,660.15,661.3,661.51,660.1,50
20201229  09:05,661.5,661.5,662,661.25,79
20201229  09:10,661.65,661,661.75,660.75,106
20201229  09:15,661,661.3,661.52,661,39
20201229  09:20,661.77,661.6,662,661.3,86
20201229  09:25,661.55,661.02,661.69,661.02,51
20201229  09:30,661.02,663.08,664.76,657.46,6595
20201229  09:35,663.25,662,664.34,657.87,4375
20201229  09:40,662.18,665.96,666.66,661.11,5756
20201229  09:45,666.01,667.33,669.9,666,5565
20201229  09:50,667.2,664.79,667.97,664.19,3458
20201229  09:55,664.89,662.25,665.95,661.7,4129
20201229  10:00,662.38,661.22,663.75,659,4093
20201229  10:05,661.35,660,662.2,657.65,3570
20201229  10:10,659.86,656.06,660.29,655,4552
20201229  10:15,656.33,658.01,659.15,656.33,4230
20201229  10:20,657.91,659.78,661,657.82,3066
20201229  10:25,659.8,660.24,660.8,658.32,2357
20201229  10:30,660.25,659.67,661.63,659.67,2371
20201229  10:35,659.87,661.88,663.6,659.08,3113
20201229  10:40,662.11,663.75,664.65,662.1,2959
20201229  10:45,663.71,663.88,664.27,662.22,2284
20201229  10:50,664.11,661.93,664.17,661.08,2063
